==PROF== Connected to process 3301344 (/mnt/sda/2022-0526/home/tianrui/code/LearningNote4Dev/CUDA/gemm/exec/share_tile)
==PROF== Received signal
==PROF== Trying to shutdown target application
==ERROR== Failed to profile "gemm_shared_tile" in process 3301344
==PROF== Trying to shutdown target application
==ERROR== An error occurred while trying to profile.
==WARNING== Found outstanding GPU clock reset, trying to revert...Success.
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","3301344","share_tile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(640, 1280, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","byte","5,443,677,824.00"
"0","3301344","share_tile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(640, 1280, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","byte","16,852,881,244,160.00"
"0","3301344","share_tile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(640, 1280, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","byte","692,298,376,608.00"
"0","3301344","share_tile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(640, 1280, 1)","0","8.0","Command line profiler metrics","smsp__cycles_elapsed.avg","cycle","5,146,386,157.87"
"0","3301344","share_tile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(640, 1280, 1)","0","8.0","Command line profiler metrics","smsp__cycles_elapsed.avg.per_second","cycle/second","764,869,588.39"
"0","3301344","share_tile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(640, 1280, 1)","0","8.0","Command line profiler metrics","smsp__inst_executed_pipe_tensor.sum","inst","0.00"
"0","3301344","share_tile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(640, 1280, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0.00"
"0","3301344","share_tile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(640, 1280, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0.00"
"0","3301344","share_tile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(640, 1280, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0.00"
"0","3301344","share_tile","127.0.0.1","void randomInit<float>(T1 *, int, int, unsigned int)","1","7","(32, 32, 1)","(640, 1280, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0.00"
